user,item,rating
276847,0,1
276847,1,1
276847,2,1
276847,3,2
276847,4,1
276964,5,1
276964,6,1
276964,7,2
276964,8,1
276964,9,1
276964,10,2
276964,11,2
276964,12,2
276964,13,2
276964,14,1
277042,15,2
277042,16,3
277042,17,1
277042,18,2
277042,19,1
277042,20,6
277157,21,1
277157,22,1
277157,23,2
277157,24,2
277157,25,1
277157,26,1
277157,27,1
277157,28,2
277157,29,2
277157,30,1
277157,31,2
277157,32,1
277157,33,1
277157,34,1
277195,35,2
277195,36,3
277195,37,1
277195,38,1
277195,39,1
277195,40,2
277195,41,5
277195,42,2
277195,43,2
277203,44,1
277203,45,2
277203,46,1
277203,47,1
277203,48,1
277203,49,1
277378,50,6
277378,51,3
277378,52,2
277378,53,1
277378,54,1
277378,55,1
277378,56,1
277427,57,4
277427,58,2
277427,59,2
277427,60,1
277427,61,5
277427,62,2
277427,63,2
277427,64,1
277427,65,1
277427,66,1
277427,67,3
277427,68,2
277427,69,1
277427,70,8
277427,71,1
277427,72,4
277427,73,3
277427,74,1
277427,75,1
277427,76,2
277427,77,2
277427,78,1
277427,79,2
277427,80,1
277427,81,2
277427,82,1
277427,83,2
277427,84,1
277427,85,3
277427,86,2
277427,87,3
277427,88,3
277427,89,1
277427,90,1
277427,91,1
277427,92,2
277427,93,3
277427,94,2
277427,95,3
277427,96,2
277427,97,1
277427,98,3
277427,99,1
277427,100,2
277427,101,1
277427,102,2
277427,103,2
277427,104,2
277427,105,1
277427,106,1
277427,107,1
277427,108,1
277427,109,1
277427,110,1
277427,111,1
277427,112,1
277427,113,2
277427,114,1
277427,115,1
277427,116,1
277427,117,3
277427,118,1
277427,119,2
277427,120,1
277427,121,1
277427,122,2
277427,123,1
277439,124,10
277439,125,1
277439,24,2
277439,127,5
277478,128,1
277478,129,3
277478,130,2
277478,131,1
277478,132,2
277478,133,2
277523,134,1
277523,135,2
277523,136,4
277523,137,1
277523,138,3
277523,139,1
277523,140,2
277523,141,2
277523,142,1
277523,143,3
277523,144,3
277523,145,1
277523,146,1
277523,147,1
277523,148,2
277523,149,1
277523,150,2
277523,151,3
277523,152,2
277623,57,1
277623,153,3
277623,154,1
277623,155,1
277623,156,3
277623,157,4
277629,158,2
277629,159,1
277629,74,1
277629,160,4
277629,161,3
277629,162,1
277629,163,3
277639,164,1
277639,165,1
277639,166,2
277639,167,2
277639,168,4
277639,169,3
277639,170,5
277639,171,1
277639,172,3
277639,173,1
277639,174,2
277639,175,1
277710,176,1
277710,177,2
277710,178,1
277710,146,1
277710,179,1
277710,180,1
277744,181,2
277744,182,3
277744,183,2
277744,184,2
277744,185,3
277744,186,2
277744,187,1
277744,188,2
277873,189,1
277873,190,2
277873,191,1
277873,192,5
277873,193,3
277922,194,2
277922,195,2
277922,196,2
277922,197,1
277922,198,3
277928,199,1
277928,200,1
277928,201,1
277928,202,1
277928,203,1
277928,204,2
277928,205,3
277928,206,2
277937,207,2
277937,208,3
277937,209,2
277937,210,2
277937,211,2
277937,212,3
277937,213,1
277937,214,3
277945,215,2
277945,216,1
277945,217,2
277945,218,2
277945,219,2
277945,220,1
277945,221,1
277945,222,2
277945,223,1
277945,224,1
277945,225,2
277945,226,1
277959,227,5
277959,228,1
277959,229,1
277959,230,1
277959,231,1
277959,232,1
277965,233,4
277965,234,1
277965,235,3
277965,236,2
277965,237,1
277965,238,2
277965,239,1
277965,192,5
277965,240,3
277965,108,2
277965,241,2
277965,242,2
278007,243,5
278007,244,1
278007,245,3
278007,246,2
278007,248,3
278026,59,1
278026,249,1
278026,250,2
278026,251,1
278026,252,2
278026,165,4
278026,253,3
278026,254,1
278026,255,1
278026,256,1
278026,257,2
278026,258,2
278026,259,2
278026,260,1
278026,261,1
278026,262,1
278026,263,2
278026,264,2
278026,265,3
278026,266,2
278026,267,4
278026,268,4
278026,151,1
278026,269,2
278026,270,2
278026,271,2
278137,272,1
278137,273,2
278137,274,5
278137,275,1
278137,276,2
278137,277,1
278137,278,1
278137,279,2
278137,280,2
278137,281,2
278137,282,2
278137,283,2
278137,284,1
278137,285,4
278137,152,2
278137,286,2
278188,287,2
278188,289,3
278188,290,2
278188,291,1
278188,292,2
278188,293,3
278188,294,1
278188,295,2
278188,296,2
278188,297,2
278188,299,2
278194,300,2
278194,301,1
278194,302,1
278194,303,2
278194,304,3
278194,305,1
278194,306,2
278194,307,1
278194,308,2
278194,309,1
278194,144,3
278194,310,2
278194,87,1
278194,311,1
278194,266,1
278194,312,1
278194,313,1
278194,314,2
278202,316,2
278202,317,2
278202,318,1
278202,319,3
278202,320,1
278202,321,1
278202,322,2
278202,323,2
278202,324,1
278202,326,1
278221,327,1
278221,328,2
278221,329,5
278221,330,3
278221,331,1
278221,285,4
278221,332,1
278356,333,3
278356,334,1
278356,335,3
278356,336,2
278356,337,1
278356,338,4
278356,339,2
278356,340,5
278356,341,5
278356,342,1
278390,343,2
278390,344,1
278390,345,3
278390,346,2
278390,347,2
278390,348,3
278390,349,1
278390,350,2
278390,127,4
278390,312,1
278390,351,1
278390,352,1
278418,353,1
278418,354,1
278418,355,2
278418,356,2
278418,357,2
278418,358,2
278418,360,1
278418,362,2
278418,363,1
278418,364,1
278418,365,1
278418,366,1
278418,265,2
278418,368,1
278418,369,1
278418,371,1
278418,372,2
278418,373,1
278418,374,2
278535,250,1
278535,376,2
278535,377,3
278535,378,3
278535,16,3
278535,379,2
278535,17,1
278535,380,2
278535,381,4
278535,382,2
278535,383,1
278554,384,1
278554,385,1
278554,60,1
278554,386,2
278554,387,2
278554,388,2
278554,389,1
278554,390,1
278582,391,3
278582,392,1
278582,393,1
278582,394,2
278582,395,1
278582,396,1
278582,397,2
278582,252,1
278582,398,2
